Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category
Cows' milk,1 qt.,100,67.62,3.28,4.1,3.69,0,4.92,Dairy products
Milk skim,1 qt.,100,36.59,3.66,,,0,5.28,Dairy products
Buttermilk,1 cup,100,51.63,3.66,2.03,1.63,0,5.28,Dairy products
"Evaporated, undiluted",1 cup,100,136.9,6.35,7.94,7.14,0,9.52,Dairy products
Fortified milk,6 cups,100,,,,,,,Dairy products
Powdered milk,1 cup,100,500,26.21,27.18,23.3,0,37.86,Dairy products
"skim, instant",1 1/3 cups,100,341.18,35.29,,,0,49.41,Dairy products
"skim, non-instant",2/3 cup,100,341.18,35.29,,,1.18,49.41,Dairy products
Goats' milk,1 cup,100,67.62,3.28,4.1,3.28,0,4.51,Dairy products
(1/2 cup ice cream),2 cups,100,127.78,4.44,4.44,4.07,0,12.96,Dairy products
Cocoa,1 cup,100,93.25,3.17,4.37,3.97,0,10.32,Dairy products
skim. milk,1 cup,100,51.2,7.2,1.6,1.2,0.4,5.2,Dairy products
(cornstarch),1 cup,100,110.89,3.63,4.03,3.63,0,16.13,Dairy products
Custard,1 cup,100,114.92,5.24,5.65,4.44,0,11.29,Dairy products
Ice cream,1 cup,100,159.57,3.19,9.57,8.51,0,15.43,Dairy products
Ice milk,1 cup,100,144.74,4.74,5.26,4.74,0,16.84,Dairy products
Cream or half-and-half,1/2 cup,100,141.67,3.33,12.5,10.83,0,4.17,Dairy products
or whipping,1/2 cup,100,361.34,1.68,36.97,22.69,0.84,2.52,Dairy products
Cheese,1 cup,100,106.67,13.33,4.89,4.44,0,2.67,Dairy products
uncreamed,1 cup,100,86.67,16.89,,,0,2.67,Dairy products
Cheddar,1-in. cube,100,411.76,23.53,35.29,29.41,0,,Dairy products
"Cheddar, grated cup",1/2 cup,100,403.57,25,33.93,30.36,0,1.79,Dairy products
Cream cheese,1 oz.,100,375,7.14,39.29,35.71,0,3.57,Dairy products
Processed cheese,1 oz.,100,375,25,32.14,28.57,0,,Dairy products
Roquefort type,1 oz.,100,375,21.43,32.14,28.57,0,,Dairy products
Swiss,1 oz.,100,375,25,28.57,25,0,,Dairy products
Eggs raw,2,100,150,12,12,10,0,,Dairy products
Eggs Scrambled or fried,2,100,171.88,10.16,12.5,10.94,0,0.78,Dairy products
Yolks,2,100,352.94,17.65,29.41,23.53,0,,"Fats, Oils, Shortenings"
Hydrogenated cooking fat,1/2 cup,100,665,0,100,88,0,0,"Fats, Oils, Shortenings"
Lard,1/2 cup,100,901.82,0,100,83.64,0,0,"Fats, Oils, Shortenings"
Margarine,1/2 cup,100,719.64,,81.25,67.86,0,,"Fats, Oils, Shortenings"
"Margarine, 2 pat or",1 T.,100,714.29,,78.57,64.29,0,,"Fats, Oils, Shortenings"
Mayonnaise,1 T.,100,733.33,,80,33.33,0,,"Fats, Oils, Shortenings"
Corn oil,1 T.,100,892.86,0,100,35.71,0,0,"Fats, Oils, Shortenings"
Olive oil,1T.,100,892.86,0,100,21.43,0,0,"Fats, Oils, Shortenings"
Safflower seed oil,1 T.,100,892.86,0,100,21.43,0,0,"Fats, Oils, Shortenings"
French dressing,1 T.,100,400,,40,13.33,0,13.33,"Fats, Oils, Shortenings"
Thousand Island sauce,1 T.,100,500,,53.33,20,0,6.67,"Fats, Oils, Shortenings"
Salt pork,2 oz.,100,783.33,5,91.67,,0,0,"Meat, Poultry"
Bacon,2 slices,100,593.75,25,50,43.75,0,6.25,"Meat, Poultry"
Beef,3 oz.,100,288.24,27.06,18.82,17.65,0,0,"Meat, Poultry"
Hamburger,3 oz.,100,288.24,24.71,20,17.65,0,0,"Meat, Poultry"
Ground lean,3 oz.,100,217.65,28.24,11.76,10.59,0,0,"Meat, Poultry"
Roast beef,3 oz.,100,458.82,18.82,42.35,41.18,0,0,"Meat, Poultry"
Steak,3 oz.,100,388.24,23.53,31.76,29.41,0,0,"Meat, Poultry"
"Steak, lean, as round",3 oz.,100,258.82,28.24,14.12,12.94,0,0,"Meat, Poultry"
Corned beef,3 oz.,100,217.65,25.88,11.76,10.59,0,0,"Meat, Poultry"
Corned beef hash canned,3 oz.,100,141.18,14.12,9.41,8.24,,7.06,"Meat, Poultry"
Corned beef hash Dried,2 oz.,100,205.36,33.93,7.14,7.14,0,0,"Meat, Poultry"
Pot-pie,1 pie,100,211.45,7.93,12.33,11.01,,14.1,"Meat, Poultry"
Corned beef hash Stew,1 cup,100,78.72,6.38,4.26,3.83,,6.38,"Meat, Poultry"
chicken,3 oz.,100,217.65,27.06,10.59,8.24,0,0,"Meat, Poultry"
"Fried, breast or leg and thigh chicken",3 oz.,100,288.24,29.41,17.65,12.94,0,0,"Meat, Poultry"
Roasted chicken,3 1/2 oz.,100,290,25,20,16,0,0,"Meat, Poultry"
"Chicken livers, fried",3 med.,100,140,22,14,12,0,2.3,"Meat, Poultry"
"Duck, domestic",3 1/2 oz.,100,370,16,28,0,0,0,"Meat, Poultry"
"Lamb, chop, broiled",4 oz.,100,417.39,20.87,30.43,28.7,0,0,"Meat, Poultry"
Leg roasted,3 oz.,100,365.12,23.26,16.28,16.28,0,0,"Meat, Poultry"
"Shoulder, braised",3 oz.,100,335.29,21.18,27.06,24.71,0,0,"Meat, Poultry"
"Pork, chop, 1 thick",3 1/2 oz.,100,260,16,21,18,0,0,"Meat, Poultry"
Ham pan-broiled,3 oz.,100,341.18,18.82,25.88,22.35,0,0,"Meat, Poultry"
"Ham, as ",2 oz.,100,298.25,22.81,22.81,19.3,0,0,"Meat, Poultry"
"Ham, canned, spiced",2 oz.,100,289.47,14.04,24.56,21.05,0,1.75,"Meat, Poultry"
Pork roast,3 oz.,100,364.71,24.71,28.24,24.71,0,0,"Meat, Poultry"
Pork sausage,3 1/2 oz.,100,475,18,44,40,0,0,"Meat, Poultry"
Turkey,3 1/2 oz.,100,265,27,15,0,0,0,"Meat, Poultry"
Veal,3 oz.,100,217.65,27.06,10.59,9.41,0,0,"Meat, Poultry"
Roast,3 oz.,100,358.82,15.29,16.47,15.29,0,0,"Meat, Poultry"
Clams,3 oz.,100,102.35,14.12,1.18,0,0,2.35,"Fish, Seafood"
Cod,3 1/2 oz.,100,170,28,5,0,0,0,"Fish, Seafood"
Crab meat,3 oz.,100,105.88,16.47,2.35,0,0,1.18,"Fish, Seafood"
Fish sticks fried,5,100,178.57,16.96,8.93,4.46,0,7.14,"Fish, Seafood"
Flounder,3 1/2 oz.,100,200,30,8,0,0,0,"Fish, Seafood"
Haddock,3 oz.,100,158.82,18.82,5.88,4.71,0,7.06,"Fish, Seafood"
Halibut,3 1/2 oz.,100,182,26,8,0,0,0,"Fish, Seafood"
Herring,1 small,100,211,22,13,0,0,0,"Fish, Seafood"
Lobster,aver.,100,92,18,1,0,0,,"Fish, Seafood"
Mackerel,3 oz.,100,182.35,21.18,10.59,0,,0,"Fish, Seafood"
Oyster stew,1 cup,100,147.06,22.35,7.06,1.18,0,0,"Fish, Seafood"
Salmon,3 oz.,100,141.18,20,5.88,1.18,0,0,"Fish, Seafood"
Sardines,3 oz.,100,211.76,25.88,10.59,4.71,0,0,"Fish, Seafood"
Scallops,3 1/2 oz.,100,104,18,8,0,0,10,"Fish, Seafood"
Shad,3 oz.,100,200,23.53,11.76,0,0,0,"Fish, Seafood"
Shrimp,3 oz.,100,129.41,27.06,1.18,0,0,0,"Fish, Seafood"
Swordfish,1 steak,100,180,27,6,0,0,0,"Fish, Seafood"
Tuna,3 oz.,100,200,29.41,8.24,3.53,0,0,"Fish, Seafood"
Artichoke,1 large,100,,2,,,2,10,Vegetables A-E
Asparagus,6 spears,100,18.75,1.04,,,0.52,3.12,Vegetables A-E
Beans,1 cup,100,20,0.8,,,0.64,4.8,Vegetables A-E
Lima,1 cup,100,87.5,5,,,1.88,15,Vegetables A-E
"Lima, dry, cooked",1 cup,100,135.42,8.33,,,1.04,25,Vegetables A-E
"Navy, baked with pork",3/4 cup,100,125,5.5,3,3,1,18.5,Vegetables A-E
Red kidney,1 cup,100,88.46,5.77,0.38,0,0.96,16.15,Vegetables A-E
Bean sprouts,1 cup,100,34,2,,0,0.6,6,Vegetables A-E
Beet greens,1 cup,100,27,2,,0,1.4,6,Vegetables A-E
Beetroots,1 cup,100,0.61,7.27,0,,,0.48,Vegetables A-E
Broccoli,1 cup,100,30,3.33,,0,1.27,5.33,Vegetables A-E
Brussels sprouts,1 cup,100,46.15,4.62,,0,1.31,9.23,Vegetables A-E
Sauerkraut,1 cup,100,21.33,0.67,,0,0.8,4.67,Vegetables A-E
Steamed cabbage,1 cup,100,23.53,1.18,,0,0.76,5.29,Vegetables A-E
Carrots,1 cup,100,30,0.67,,0,0.6,6.67,Vegetables A-E
"Raw, grated",1 cup,100,40.91,0.91,,0,1.09,9.09,Vegetables A-E
"Strips, from raw",1 mad.,100,40,,,0,1,10,Vegetables A-E
Cauliflower,1 cup,100,25,2.5,,0,0.83,5,Vegetables A-E
Celery,1 cup,100,20,1,,0,1,4,Vegetables A-E
Stalk raw,1 large,100,12.5,2.5,,0,0.75,2.5,Vegetables A-E
Chard steamed,1 cup,100,20,1.33,,0,0.93,4.67,Vegetables A-E
Collards,1 cup,100,34,3.33,,0,1.33,5.33,Vegetables A-E
Corn,1 ear,100,92,3,1,,0.8,21,Vegetables A-E
cooked or canned,1 cup,100,85,2.5,,0,0.8,20.5,Vegetables A-E
Cucumbers,8,100,12,,0,0,0.4,2,Vegetables A-E
Dandelion greens,1 cup,100,44.44,2.78,0.56,0,1.78,8.89,Vegetables A-E
Eggplant,1 cup,100,16.67,1.11,,0,0.56,5,Vegetables A-E
Endive,2 oz.,100,17.54,1.75,,0,1.05,3.51,Vegetables A-E
Kale,1 cup,100,40.91,3.64,0.91,0,0.82,7.27,Vegetables F-P
Kohlrabi,1 cup,100,28.57,1.43,,0,1.07,6.43,Vegetables F-P
"Lambs quarters, steamed",1 cup,100,32,3.33,,0,2.13,4.67,Vegetables F-P
Lentils,1 cup,100,106,7.5,,0,1.2,19,Vegetables F-P
Lettuce,1/4 head,100,14,1,,0,0.5,2,Vegetables F-P
Iceberg,1/4 head,100,13,,,0,0.5,3,Vegetables F-P
Mushrooms canned,4,100,10,1.67,,0,,3.33,Vegetables F-P
Mustard greens,1,100,21.43,2.14,,0,0.86,4.29,Vegetables F-P
Okra,1 1/3 cups,100,32,1,,0,1,7,Vegetables F-P
Onions,1,100,38.1,0.95,,0,0.76,8.57,Vegetables F-P
"Raw, green",6 small,100,44,,,0,2,10,Vegetables F-P
Parsley,2 T.,100,4,,,0,,,Vegetables F-P
Parsnips,1 cup,100,61.29,1.29,0.65,0,1.94,14.19,Vegetables F-P
Peas,1 cup,100,66,3,,0,0.1,13,Vegetables F-P
"Fresh, steamed peas",1 cup,100,70,5,,0,2.2,12,Vegetables R-Z
Frozen peas,1 cup,100,,5,,0,1.8,12,Vegetables R-Z
Split cooked peas,4 cups,100,115,8,,0,0.4,21,Vegetables R-Z
heated peas,1 cup,100,53,3,,0,1,10,Vegetables R-Z
Peppers canned,1 pod,100,26.32,,,0,,5.26,Vegetables R-Z
"Peppers Raw, green, sweet",1 large,100,25,1,,0,1.4,6,Vegetables R-Z
Peppers with beef and crumbs,1 med.,100,170,12.67,6,5.33,0.67,16,Vegetables R-Z
"Potatoes, baked",1 med.,100,100,2,,0,0.5,22,Vegetables R-Z
French-fried,10 pieces,100,258.33,-1.67,11.67,5,0.67,33.33,Vegetables R-Z
Potatoes Mashed with milk and butter,1 cup,100,115,2,6,5.5,0.35,14,Vegetables R-Z
"Potatoes, pan-tried",3/4 cup,100,268,4,14,6,0.4,33,Vegetables R-Z
Scalloped with cheese potatoes,3/4 cup,100,145,6,8,7,0.4,14,Vegetables R-Z
Steamed potatoes before peeling,1 med.,100,80,2,,0,0.4,19,Vegetables R-Z
Potato chips,10,100,550,5,35,20,,50,Vegetables R-Z
Radishes,5 small,100,20,,0,0,0.6,4,Vegetables R-Z
Rutabagas,4 cups,100,32,,0,0,1.4,8,Vegetables R-Z
Soybeans,1 cup,100,130,11,5.5,0,1.6,10,Vegetables R-Z
Spinach,1 cup,100,26,3,,0,1,3,Vegetables R-Z
Squash,1 cup,100,16.67,0.48,,0,0.29,3.81,Vegetables R-Z
"Winter, mashed",1 cup,100,47.5,2,,0,1.3,11.5,Vegetables R-Z
Sweet potatoes,1 med.,100,140.91,1.82,0.91,0,0.91,32.73,Vegetables R-Z
Candied,1 med.,100,134.29,1.14,3.43,2.86,0.86,45.71,Vegetables R-Z
Tomatoes,1 cup,100,20.83,0.83,,0,0.42,3.75,Vegetables R-Z
"Raw, 2 by 2 1/2",1 med.,100,20,0.67,,0,0.4,4,Vegetables R-Z
Tomato juice,1 cup,100,20.83,0.83,,0,0.25,4.17,Vegetables R-Z
Tomato catsup,1 T.,100,88.24,,,0,,23.53,Vegetables R-Z
Turnip greens,1 cup,100,31.03,2.76,0.69,0,1.24,5.52,Vegetables R-Z
"Turnips, steamed",1 cup,100,25.81,0.65,,0,1.16,5.81,Vegetables R-Z
"Watercress stems, raw",1 cup,100,18,2,,0,0.6,2,Fruits A-F
Apple juice canned,1 cup,100,50,,0,0,0,13.6,Fruits A-F
Apple vinegar,1/3 cup,100,14,,0,0,0,3,Fruits A-F
"Apples, raw",1 med,100,53.85,,,0,0.77,13.85,Fruits A-F
Stewed or canned,1 cup,100,41.67,,,0,0.83,10.83,Fruits A-F
Apricots,1 cup,100,88,0.8,,0,0.4,22.8,Fruits A-F
"Dried, uncooked",1/2 cup,100,293.33,5.33,,0,1.33,66.67,Fruits A-F
Fresh,3 med.,100,48.25,0.88,,0,0.61,12.28,Fruits A-F
"Nectar, or juice",1 cup,100,56,0.4,,0,0.8,14.4,Fruits A-F
Avocado,1/2 large,100,171.3,1.85,16.67,11.11,1.67,5.56,Fruits A-F
Banana,1 med.,100,56.67,0.67,,0,0.6,15.33,Fruits A-F
Blackberries,1 cup,100,59.03,1.39,0.69,0,4.58,13.19,Fruits A-F
Blueberries,1 cup,100,98,0.4,,0,0.8,26,Fruits A-F
Cantaloupe,1/2 med.,100,10.53,0.26,,0,0.58,2.37,Fruits A-F
Cherries,1 cup,100,38.91,0.78,0.39,0,0.78,10.12,Fruits A-F
"Fresh, raw",1 cup,100,57.02,0.88,,0,0.7,13.16,Fruits A-F
